height_map envu: number_of_rows = 40, number_of_columns = 40
SERV_IP = 192.168 123
my_vehicle->iID = 868
P.y = 15.877027, Pt.y = 0.000000, Q.y = 15.877027, Qt.y = 0.000000, R.y = 15.877027, Rt.y = 0.000000, S.y = 15.877027, St.y = 0.000000
P.y = 15.821437, Pt.y = 0.000000, Q.y = 15.821437, Qt.y = 0.000000, R.y = 15.821437, Rt.y = 0.000000, S.y = 15.821437, St.y = 0.000000
P.y = 15.765475, Pt.y = 0.000000, Q.y = 15.765475, Qt.y = 0.000000, R.y = 15.765475, Rt.y = 0.000000, S.y = 15.765475, St.y = 0.000000
P.y = 15.709142, Pt.y = 0.000000, Q.y = 15.709142, Qt.y = 0.000000, R.y = 15.709142, Rt.y = 0.000000, S.y = 15.709142, St.y = 0.000000
P.y = 15.652436, Pt.y = 0.000000, Q.y = 15.652436, Qt.y = 0.000000, R.y = 15.652436, Rt.y = 0.000000, S.y = 15.652436, St.y = 0.000000
P.y = 15.595359, Pt.y = 0.000000, Q.y = 15.595359, Qt.y = 0.000000, R.y = 15.595359, Rt.y = 0.000000, S.y = 15.595359, St.y = 0.000000
P.y = 15.537908, Pt.y = 0.000000, Q.y = 15.537908, Qt.y = 0.000000, R.y = 15.537908, Rt.y = 0.000000, S.y = 15.537908, St.y = 0.000000
P.y = 15.480084, Pt.y = 0.000000, Q.y = 15.480084, Qt.y = 0.000000, R.y = 15.480084, Rt.y = 0.000000, S.y = 15.480084, St.y = 0.000000
P.y = 15.421889, Pt.y = 0.000000, Q.y = 15.421889, Qt.y = 0.000000, R.y = 15.421889, Rt.y = 0.000000, S.y = 15.421889, St.y = 0.000000
P.y = 15.363322, Pt.y = 0.000000, Q.y = 15.363322, Qt.y = 0.000000, R.y = 15.363322, Rt.y = 0.000000, S.y = 15.363322, St.y = 0.000000
P.y = 15.304383, Pt.y = 0.000000, Q.y = 15.304383, Qt.y = 0.000000, R.y = 15.304383, Rt.y = 0.000000, S.y = 15.304383, St.y = 0.000000
